Algorithm,Best Score,Time (s)
Hill Climbing,-0.00569704938222532,3.3198673725128174
Simulated Annealing,-0.005553996120103418,3.388017177581787
Tabu Search,-0.005801962505693516,80.14766883850098
Genetic Algorithm,-0.0049835724437636885,4.4693756103515625
